,realtime_start,realtime_end,date,value
283,2025-06-26,2025-06-26,2023-08-01,20747.3
284,2025-06-26,2025-06-26,2023-09-01,20720.6
285,2025-06-26,2025-06-26,2023-10-01,20687.6
286,2025-06-26,2025-06-26,2023-11-01,20696.8
287,2025-06-26,2025-06-26,2023-12-01,20701.5
288,2025-06-26,2025-06-26,2024-01-01,20773.1
289,2025-06-26,2025-06-26,2024-02-01,20861.2
290,2025-06-26,2025-06-26,2024-03-01,20901.4
291,2025-06-26,2025-06-26,2024-04-01,20932.5
292,2025-06-26,2025-06-26,2024-05-01,20997.0
293,2025-06-26,2025-06-26,2024-06-01,21065.4
294,2025-06-26,2025-06-26,2024-07-01,21098.0
295,2025-06-26,2025-06-26,2024-08-01,21185.0
296,2025-06-26,2025-06-26,2024-09-01,21272.0
297,2025-06-26,2025-06-26,2024-10-01,21323.2
298,2025-06-26,2025-06-26,2024-11-01,21424.2
299,2025-06-26,2025-06-26,2024-12-01,21441.9
300,2025-06-26,2025-06-26,2025-01-01,21519.8
301,2025-06-26,2025-06-26,2025-02-01,21613.5
302,2025-06-26,2025-06-26,2025-03-01,21706.4
303,2025-06-26,2025-06-26,2025-04-01,21862.4
304,2025-06-26,2025-06-26,2025-05-01,21942.0
